Name Football Player,International ,Date of birth,Place of Birth ,Country of Birth,Current Country ,Nationality Father,Nationality Mother,Nationality Grandfather,Nationality Grandmother,Foreign-born,FIFA World Cup
Nadir Belhadj,Algeria,18-Jun-82,Saint-Claude,France,,Algeria,Algeria,,,1,2010
Antar Yahia (Captain),Algeria,21-Mar-82,Mulhouse ,France,,Algeria,Algeria,,,1,2010
Ryad Boudebouz,Algeria,19-Feb-90,Colmar,France,,Algeria,Algeria,,,1,2010
Medhi Lacen,Algeria,15-May-84,Paris,France,,Algeria,Italy,,,1,2010
Abdelkader Ghezzal,Algeria,5-Dec-84,Décines-Charpieu,France,,Algeria,Algeria,,,1,2010
Rafik Djebbour,Algeria,8-Mar-84,Grenoble ,France,,Algeria,Algeria,,,1,2010
Habib Bellaïd,Algeria,28-Mar-86,Bobigny,France,,Tunisia,Algeria,,,1,2010
Karim Matmour,Algeria,25-Jun-84,Strasbourg,France,,Algeria,Algeria,,,1,2010
Karim Ziani,Algeria,17 augustus 1982,Sèvres,France,,Algeria,France,,,1,2010
Adlène Guedioura,Algeria,12-Nov-85,La Roche-sur-Yon,France,,Algeria,Algeria /Spain,Spain,,1,2010
Carl Medjani,Algeria,15-May-85,Lyon,France,,Algeria,France,,,1,2010
Hassan Yebda,Algeria,14-May-84,Saint-Maurice,France,,Algeria,Algeria,,,1,2010
Foued Kadir,Algeria,5-Dec-83,Martigues,France,,Algeria,Algeria,,,1,2010
Djamel Abdoun,Algeria,14-Feb-86,Montreuil,France,,Algeria,Algeria,,,1,2010
Raïs M'Bolhi,Algeria,25-Apr-86,Paris,France,,Congo,Algeria,,,1,2010
Yazid Mansouri,Algeria,25-Feb-78,Revin ,France,,Algeria,Algeria,,,1,2010
Gonzalo Higuaín,Argentina,10-Dec-87,Brest,France,,Argentina,,,,1,2010
Nikita Rukavytsya,Australia,22-Jun-87,Mykolayiv,Ukraine,,Ukraine,Ukraine,,,1,2010
Dario Vidošić,Australia,8-Apr-87,Osijek,SFR Yugoslavia,Croatia,Croatia,Croatia,,,1,2010
Benoît Assou-Ekotto,Cameroon,24-Mar-84,Arras,France,,Cameroon,France,,,1,2010
Sébastien Bassong,Cameroon,9-Jul-86,Paris,France,,Cameroon,Cameroon,,,1,2010
Eric Maxim Choupo-Moting,Cameroon,23-Mar-89,Altona,West Germany,,Cameroon,Germany,,,1,2010
Joël Matip,Cameroon,8 augustus 1991,Bochum,Germany,,Cameroon,Germany,,,1,2010
Jorge Valdivia,Chile,19-Oct-83,Maracay,Venezuela,,Chile ,Chile,,,1,2010
Mark González,Chile,10-Jul-84,Durban ,South Africa,,Chile ,Chile,,,1,2010
Matías Fernández,Chile,15-May-86,Caballito,Argentina,,Chile,Argentina,,,1,2010
Jesper Grønkjær,Denmark,12 augustus 1977,Nuuk,Greenland ,,,,,,1,2010
Patrice Evra (Captain),France,15-May-81,Dakar,Senegal,,Guinea,Cape Verde,,,1,2010
Steve Mandanda,France,28-Mar-85,Kinshasa,Congo,,Congo,Congo,,,1,2010
Florent Malouda,France,13-Jun-80,Cayenne,French Guiana,Guiana,French Guiana,French Guiana,,,1,2010
Miroslav Klose,Germany,9-Jun-78,Opole,Poland,,Germany ,,,,1,2010
Piotr Trochowski,Germany,22-Mar-84,Tczew,Poland,,Poland,Poland ,Germany ,Germany,1,2010
Cacau,Germany,27-Mar-81,Santo André,Brazil,,Brazil,Brazil,,,1,2010
Marko Marin,Germany,13-Mar-89,Bosanska Gradiška,SFR Yugoslavia,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,,,1,2010
Lukas Podolski,Germany,4-Jun-85,Gliwice,Poland,,Poland,Poland ,Germany ,Germany,1,2010
Toni Kroos,Germany,4-Jan-90,Greifswald,East Germany,Germany,,,,,1,2010
André Ayew,Ghana,17-Dec-89,Seclin,France,,Ghana,Ghana,,,1,2010
Quincy Owusu-Abeyie,Ghana,15-Apr-86,Amsterdam,Netherlands,,Ghana,Ghana,,,1,2010
Kevin-Prince Boateng,Ghana,6-Mar-87,Berlin,West Germany,Germany,Ghana,Germany,,,1,2010
Avraam Papadopoulos,Greece,3-Dec-84,Melbourne,Australia,,Greece,Greece,,,1,2010
Loukas Vyntra,Greece,5-Feb-81,Město Albrechtice,Czechoslovakia,Czech Republic,Czech Republic,Greece,,,1,2010
Sotiris Ninis,Greece,3-Apr-90,Himara,Albania,,Greece,Greece,,,1,2010
Mauro Camoranesi,Italy,4-Oct-76,Tandil,Argentina,,Argentina,Argentina,Argentina,Argentina,1,2010
Sol Bamba,Ivory Coast,13-Jan-85,Ivry-sur-Seine,France,,Ivory Coast ,Ivory Coast,,,1,2010
Guy Demel,Ivory Coast,13-Jun-81,Orsay,France,,Ivory Coast,Ivory Coast,,,1,2010
Marcus Tulio Tanaka,Japan,24-Apr-81,Palmeira d'Oeste,Brazil,,Japan-Brazil,Italy-Brazil,,,1,2010
Guillermo Franco,Mexico,3-Nov-76,Corrientes,Argentina,,Argentina (?),Argentina (?),,,1,2010
Edson Braafheid,Netherlands,8-Apr-83,Paramaribo,Suriname,,Suriname ,Suriname,,,1,2010
Tommy Smith,New Zealand,31-Mar-90,Macclesfield,England,,England ,England,,,1,2010
Shane Smeltz,New Zealand,29-Sep-81,Göppingen,West Germany,Germany,Germany,Germany,,,1,2010
Tim Brown,New Zealand,6-Mar-81,Congleton,England,,New Zealand (?),New Zealand (?),,,1,2010
David Mulligan,New Zealand,24-Mar-82,Fazakerley,England,,New Zealand (?),New Zealand (?),,,1,2010
Peter Odemwingie,Nigeria,15-Jul-81,Tashkent,Soviet Union,Uzbekistan,Nigeria,Russia,,,1,2010
Jong Tae-se,North Korea,2-Mar-84,Nagoya,Japan,,North Korea,North Korea,,,1,2010
An Yong-hak,North Korea,25-Oct-78,Kurashiki ,Japan,,North Korea,North Korea,,,1,2010
Jonathan Santana,Paraguay,19-Oct-81,Buenos Aires ,Argentina,,Argentina,Paraguay,,,1,2010
Lucas Barrios,Paraguay,13-Nov-84,San Fernando,Argentina,,Argentina,Paraguay,,,1,2010
Néstor Ortigoza,Paraguay,7-Oct-84,San Antonio de Padua,Argentina,,Paraguay,Argentina,,,1,2010
Rolando Jorge Pires da Fonseca (Rolando),Portugal,31 augustus 1985,São Vicente,Cape Verde,,Cape Verde (?),Cape Verde,,,1,2010
Liédson da Silva Muniz (Liédson),Portugal,17-Dec-77,Cairu,Brazil,,Brazil,Brazil,,,1,2010
Képler Laveran Lima Ferreira (Pepe),Portugal,26-Feb-83,Maceió,Brazil,,Brazil,Brazil,,,1,2010
Anderson Luís de Souza (Deco),Portugal,27 augustus 1977,São Bernardo do Campo,Brazil,,Brazil,Brazil,,,1,2010
Daniel Miguel Alves Gomes (Danny),Portugal,7 augustus 1983,Caracas,Venezuela,,Portugal,Portugal,,,1,2010
Daniel Fernandes,Portugal,25-Sep-83,Edmonton,Canada,,Portugal,Czechoslovakia,,,1,2010
Miloš Krasić,Serbia,1-Nov-84,Bačka Topola,SFR Yugoslavia,Kosovo,Serbia,Serbia,,,1,2010
Neven Subotić,Serbia,10-Dec-88,Banja Luka,SFR Yugoslavia,Bosnia and Herzegovina,Serbia,Bosnia and Herzegovina,,,1,2010
Zdravko Kuzmanović,Serbia,22-Sep-87,Thun,Switzerland,,Bosnia and Herzegovina,Serbia,,,1,2010
Zlatko Dedić,Slovenia,10-May-84,Bihać,SFR Yugoslavia,Bosnia and Herzegovina,,,,,1,2010
Bongani Khumalo,South Africa,6-Jan-87,Manzini,Swaziland,,Swaziland,Swaziland,,,1,2010
Cha Du-ri,South Korea,25-Jul-80,Frankfurt am Main,West Germany,Germany,South Korea,,,,1,2010
Blaise Nkufo,Switzerland,25-May-75,Kinshasa,Zaire ,Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,,,1,2010
Valon Behrami,Switzerland,19-Apr-85,Titova Mitrovica,SFR Yugoslavia,Kosovo,Kosovo ,Kosovo,,,1,2010
Gelson Fernandes,Switzerland,2-Sep-86,Praia,Cape Verde,,Cape Verde ,Cape Verde,,,1,2010
Albert Bunjaku,Switzerland,29-Nov-83,Gjilan,SFR Yugoslavia,Kosovo,Kosovo,Kosovo,,,1,2010
Xherdan Shaqiri,Switzerland,10-Oct-91,Gnjilane,SFR Yugoslavia,Kosovo,Kosovo / Albania,Kosovo / Albania,,,1,2010
Stuart Holden,United States,1 augustus 1985,Cults,Scotland,,Scotland,Scotland,,,1,2010
Benny Feilhaber,United States,19-Jan-85,Rio de Janeiro,Brazil,,Brazil,Brazil,Austria,,1,2010
Fernando Muslera,Uruguay,16-Jun-86,Buenos Aires,Argentina,,Uruguay,Uruguay,,,1,2010
Cédric Si Mohamed,Algeria,9-Jan-85,Roanne ,France,,Algeria,France,,,1,2014
Madjid Bougherra (Captain),Algeria,7-Oct-82,Longvic,France,,France,France,Algeria,,1,2014
Hassan Yebda,Algeria,14-May-84,Saint-Maurice,France,,Algeria,Algeria,,,1,2014
Yacine Brahimi,Algeria,8-Feb-90,Paris,France,,Algeria,Algeria,,,1,2014
Carl Medjani,Algeria,15-May-85,Lyon,France,,Algeria,France,,,1,2014
Nabil Bentaleb,Algeria,24-Nov-94,Lille,France,,Algeria,Algeria,,,1,2014
Aïssa Mandi,Algeria,22-Oct-91,Châlons-en-Champagne,France,,Algeria,Algeria,,,1,2014
Mehdi Mostefa,Algeria,30 augustus 1983,Dijon,France,,Algeria,France,,,1,2014
Nabil Ghilas,Algeria,20-Apr-90,Marseille,France,,Algeria,Algeria,,,1,2014
Sofiane Feghouli,Algeria,26-Dec-89,Levallois-Perret,France,,Algeria,Algeria,,,1,2014
Faouzi Ghoulam,Algeria,1-Feb-91,Saint-Priest-en-Jarez,France,,Algeria,Algeria,,,1,2014
Raïs M'Bolhi,Algeria,25-Apr-86,Paris,France,,Congo,Algeria,,,1,2014
Medhi Lacen,Algeria,15-May-84,Paris,France,,Algeria,Italy,,,1,2014
Liassine Cadamuro-Bentaïba,Algeria,5-Mar-88,Toulouse,France,,Italy,Algeria,,,1,2014
Riyad Mahrez,Algeria,21-Feb-91,Sarcelles,France,,Algeria,Algeria / Morocco,,,1,2014
Saphir Taïder,Algeria,29-Feb-92,Castres,France,,Tunisia,Algeria,,,1,2014
Gonzalo Higuaín,Argentina,10-Dec-87,Brest,France,,Argentina,,,,1,2014
Dario Vidošić,Australia,8-Apr-87,Osijek,SFR Yugoslavia,Croatia,Croatia,Croatia,,,1,2014
Anthony Vanden Borre,Belgium,24-Oct-87,Likasi,Congo,,Belgium,Congo,,,1,2014
Mensur Mujdža,Bosnia and Herzegovina,28-Mar-84,Zagreb,SFR Yugoslavia,Croatia,Bosnia and Herzegovina,Bosnia and Herzegovina,,,1,2014
Emir Spahić (Captain),Bosnia and Herzegovina,18 augustus 1980,Dubrovnik,SFR Yugoslavia,Croatia,Serbia,Bosnia and Herzegovina,,,1,2014
Muhamed Bešić,Bosnia and Herzegovina,10-Sep-92,Berlin,Germany,,Bosnia and Herzegovina,Bosnia and Herzegovina,,,1,2014
Zvjezdan Misimović,Bosnia and Herzegovina,5-Jun-82,Munich,Germany,,Bosnia and Herzegovina,Bosnia and Herzegovina,,,1,2014
Sead Kolašinac,Bosnia and Herzegovina,20-Jun-93,Karlsuhe,Germany,,Montenegro,Bosnia and Herzegovina,Montenegro,Montenegro,1,2014
Izet Hajrović,Bosnia and Herzegovina,4 augustus 1991,Brugg,Switzerland,,Bosnia and Herzegovina,Bosnia and Herzegovina,,,1,2014
Benoît Assou-Ekotto,Cameroon,24-Mar-84,Arras,France,,Cameroon,France,,,1,2014
Charles Itandje,Cameroon,2-Nov-82,Bobigny,France,,Cameroon,Cameroon,,,1,2014
Allan-Roméo Nyom,Cameroon,10-May-88,Neuilly-sur-Seine,France,,Cameroon,Cameroon,,,1,2014
Eric Maxim Choupo-Moting,Cameroon,23-Mar-89,Altona,West Germany,Germany,Cameroon,Germany,,,1,2014
Joël Matip,Cameroon,8 augustus 1991,Bochum,Germany,,Cameroon,Germany,,,1,2014
Miiko Albornoz,Chile,30-Nov-90,Stockholm,Sweden,,Chile ,Finland,,,1,2014
Jorge Valdivia,Chile,19-Oct-83,Maracay,Venezuela,,Chile ,Chile,,,1,2014
Óscar Duarte,Costa Rica,3-Jun-89,Catarina,Nicaragua,,Nicaragua,Nicaragua,,,1,2014
Mateo Kovačić,Croatia,6-May-94,Linz,Austria,,Bosnia and Herzegovina,Bosnia and Herzegovina,,,1,2014
Vedran Ćorluka,Croatia,5-Feb-86,Derventa,SFR Yugoslavia,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,,,1,2014
Dejan Lovren,Croatia,5-Jul-89,Zenica,SFR Yugoslavia,Bosnia and Herzegovina,Croatia,Croatia,,,1,2014
Nikica Jelavić,Croatia,27 augustus 1985,Čapljina,SFR Yugoslavia,Bosnia and Herzegovina,,,,,1,2014
Jorge Sammir Cruz Campos (Sammir),Croatia,23-Apr-87,Itabuna,Brazil,,Brazil,Brazil,,,1,2014
Eduardo Alves da Silva (Eduardo or Dudu),Croatia,25-Feb-83,Rio de Janeiro,Brazil,,Brazil,Brazil,,,1,2014
Ivan Rakitić,Croatia,10-Mar-88,Möhlin,Switzerland,,Croatia,Bosnia and Herzegovina,,,1,2014
Raheem Sterling,England,8-Dec-94,Kingston,Jamaica,,Jamaica,Jamaica,,,1,2014
Rio Mavuba,France,8-Mar-84,Born at sea,NONE,,Zaire,Angola,,,1,2014
Patrice Evra,France,15-May-81,Dakar,Senegal,,Guinea,Cape Verde,,,1,2014
Miroslav Klose,Germany,9-Jun-78,Opole,Poland,,Germany,,,,1,2014
Lukas Podolski,Germany,4-Jun-85,Gliwice,Poland,,Poland,Poland ,Germany ,Germany,1,2014
Toni Kroos,Germany,4-Jan-90,Greifswald,East Germany,Germany,,,,,1,2014
Albert Adomah,Ghana,13-Dec-87,London,England,,,,,,1,2014
André Ayew,Ghana,17-Dec-89,Seclin,France,,Ghana,Ghana,,,1,2014
Jordan Ayew,Ghana,11-Sep-91,Marseille ,France ,,Ghana,Ghana,,,1,2014
Kevin-Prince Boateng,Ghana,6-Mar-87,Berlin,West Germany,Germany,Ghana,Germany,,,1,2014
Adam Kwarasey,Ghana,12-Dec-87,Oslo,Norway,,Ghana,Norway,,,1,2014
Panagiotis Kone,Greece,26-Jul-87,Tirana,Albania,,Albania ,Albania,,,1,2014
Loukas Vyntra,Greece,5-Feb-81,Město Albrechtice,Czechoslovakia,Czech Republic,Czech Republic,Greece,,,1,2014
José Holebas,Greece,27-Jun-84,Aschaffenburg,West Germany,Germany,Greece,Uruguay,,,1,2014
Daniel Davari,Iran,6-Jan-88,Gießen,West Germany,Germany,Iran,Poland /Germany,,,1,2014
Steven Beitashour,Iran,1-Feb-87,San Jose,United States,,Iran,Iran,,,1,2014
Gabriel Paletta,Italy,15-Feb-86,Buenos Aires,Argentina,,Argentina,Argentina,Italy,,1,2014
Thiago Motta,Italy,28 augustus 1982,São Bernardo do Campo,Brazil,,Brazil,Brazil,Italy,,1,2014
Jean-Daniel Akpa-Akpro,Ivory Coast,11-Oct-92,Toulouse,France,,Ivory Coast ,Ivory Coast ,,,1,2014
Giovanni Sio,Ivory Coast,31-Mar-89,Saint-Sébastien-sur-Loire,France,,Ivory Coast ,Ivory Coast,,,1,2014
Sol Bamba,Ivory Coast,13-Jan-85,Ivry-sur-Seine,France,,Ivory Coast ,Ivory Coast,,,1,2014
Mathis Bolly,Ivory Coast,14-Nov-90,Oslo,Norway,,Ivory Coast ,Norway,,,1,2014
Gōtoku Sakai,Japan,14-Mar-91,New York City,United States,,Japan,Germany,,,1,2014
Miguel Ángel Ponce,Mexico,12-Apr-89,Sacramento,United States,,Mexico,Mexico,,,1,2014
Jonathan de Guzmán,Netherlands,13-Sep-87,Scarborough,Canada,,Philippines,Jamaica,,,1,2014
Bruno Martins Indi,Netherlands,8-Feb-92,Barreiro,Portugal,,Guinea-Bissau,Guinea-Bissau,,,1,2014
Terence Kongolo,Netherlands,14-Feb-94,Fribourg,Switzerland,,Democratic Republic of Congo,Democratic Republic of Congo,,,1,2014
Peter Odemwingie,Nigeria,15-Jul-81,Tashkent,Soviet Union,Uzbekistan,Nigeria,Russia,,,1,2014
William Carvalho,Portugal,7-Apr-92,Luanda,Angola,,Angola,Angola,,Angola,1,2014
Képler Laveran Lima Ferreira (Pepe),Portugal,26-Feb-83,Maceió,Brazil,,Brazil,Brazil,,,1,2014
Nani,Portugal,17-Nov-86,Praia,Cape Verde,,Cape Verde,Cape Verde,,,1,2014
Éder,Portugal,22-Dec-87,Bissau,Guinea-Bissau,,Guinea-Bissau,Guinea-Bissau,,,1,2014
Diego da Silva Costa (Diego Costa),Spain,7-Oct-88,Lagarto,Brazil,,Brazil,Brazil,,,1,2014
Gelson Fernandes,Switzerland,2-Sep-86,Praia,Cape Verde,,Cape Verde,Cape Verde,,,1,2014
Johan Djourou,Switzerland,18-Jan-87,Abidjan,Ivory Coast,,Ivory Coast ,Ivory Coast,,,1,2014
Xherdan Shaqiri,Switzerland,10-Oct-91,Gnjilane,SFR Yugoslavia,Kosovo,Kosovo / Albania,Kosovo / Albania,,,1,2014
Valon Behrami,Switzerland,19-Apr-85,Titova Mitrovica,SFR Yugoslavia,Kosovo,Kosovo ,Kosovo,,,1,2014
Blerim Džemaili,Switzerland,12-Apr-86,Tetovo,SFR Yugoslavia,Macedonia,Albania,Albania,,,1,2014
Admir Mehmedi,Switzerland,16-Mar-91,Gostivar,SFR Yugoslavia,Macedonia,Albania,Albania,,,1,2014
John Brooks,United States,28-Jan-93,Berlin,Germany,,United States,United States,,,1,2014
Mikel (Mix) Diskerud,United States,2-Oct-90,Oslo,Norway,,Norway,United States,,,1,2014
Jermaine Jones,United States,3-Nov-81,Frankfurt am Main,West Germany,Germany,United States,Germany,,,1,2014
Timothy Chandler,United States,29-Mar-90,Frankfurt am Main,West Germany,Germany,United States,Germany,,,1,2014
Fabian Johnson,United States,11-Dec-87,Munich,West Germany,Germany,United States ,Germany ,,,1,2014
Fernando Muslera,Uruguay,16-Jun-86,Buenos Aires,Argentina,,Uruguay,Uruguay,,,1,2014
Samy Sayed Morsy (Sam Morsy),Egypt,10/9/1991,Wolverhampton,England,,Egypt,England,,,1,2018
Mário Figueira Fernandes (Mário Fernandes),Russia,19/09/1990,São Caetano do Sul,Brazil,,Brazil,Brazil,,,1,2018
Fernando Muslera,Uruguay,16-Jun-86,Buenos Aires,Argentina,,Uruguay,Uruguay,,,1,2018
Saman Ghoddos,Iran,6/9/1993,Malmö,Sweden,,Iran,Iran,,,1,2018
Yassine Bounou (Bono),Morocco,5/4/1991,Montreal,Canada,,Morocco,Morocco,,,1,2018
Achraf Hakimi,Morocco,4/11/1998,Madrid,Spain,,Morocco,Morocco,,,1,2018
Manuel Marouane da Costa Trindade Senoussi (Manuel da Costa),Morocco,6-May-86,Saint-Max,France,,Portugal,Morocco,,,1,2018
Medhi Amine El Mouttaqi Benatia (Medhi Benatia  captain),Morocco,17/04/1987,Courcouronnes,France,,Morocco,Algeria,,,1,2018
Romain Saïss,Morocco,26-Mar-90,Bourg-de-Péage,France,,Morocco,Morocco,,,1,2018
Hakim Ziyech,Morocco,19-Mar-93,Dronten,Netherlands,,Morocco,Morocco,,,1,2018
Karim El Ahmadi,Morocco,27-Jan-85,Enschede,Netherlands,,Morocco,Morocco,,,1,2018
Younès Belhanda,Morocco,25-Feb-90,Avignon,France,,Morocco,Morocco,,,1,2018
Fayçal Fajr,Morocco,1/8/1988,Rouen,France,,Morocco,Morocco,,,1,2018
Munir Mohamedi (Mounir El Kajoui),Morocco,10-May-89,Melilla,Spain,,Morocco,Morocco,,,1,2018
Khalid Boutaïb,Morocco,24/04/1987,Bagnols-sur-Cèze,France,,Morocco,Morocco,,,1,2018
"Moubarak ""Mbark"" Boussoufa ",Morocco,15/08/1984,Amsterdam ,Netherlands,,Morocco,Morocco,,,1,2018
Youssef Aït Bennasser,Morocco,7-Jul-96,Toul,France,,Morocco,Morocco,,,1,2018
"Noureddine ""Nordin"" Amrabat",Morocco,31-Mar-87,Naarden,Netherlands,,Morocco,Morocco,,,1,2018
Amine Harit,Morocco,18-Jun-97,Pontoise,France,,Morocco,Morocco,,,1,2018
Sofyan Amrabat,Morocco,21/08/1996,Huizen,Netherlands,,Morocco,Morocco,,,1,2018
Mehdi François Carcela-González (Mehdi Carcela),Morocco,1-Jul-89,Liège,Belgium,,Spain,Morocco,,,1,2018
Képler Laveran Lima Ferreira (Pepe),Portugal,26-Feb-83,Maceió,Brazil,,Brazil,Brazil,,,1,2018
Raphaël Guerreiro,Portugal,22/12/1993,Le Blanc-Mesnil,France,,Portugal,France,,,1,2018
Anthony Lopes,Portugal,1-Oct-90,Givors,France,,Portugal,Portugal,,,1,2018
William Carvalho,Portugal,7/4/1992,Luanda,Angola,,Angola,Angola,,Angola,1,2018
Gelson Martins,Portugal,11-May-95,Praia,Cape Verde,,Cape Verde,Cape Verde,,,1,2018
Cédric Ricardo Alves Soares (Cédric),Portugal,31/08/1991,Singen,Germany,,Portugal,Portugal,,,1,2018
Adrien Sébastien Perruchet da Silva (Adrien Silva),Portugal,15-Mar-89,Angoulême,France,,Portugal,France,,,1,2018
Rodrigo Moreno Machado (Rodrigo0,Spain,6-Mar-91,Rio de Janeiro,Brazil,,Brazil,Brazil (?),,,1,2018
Thiago Alcántara do Nascimento (Thiago),Spain,11/4/1991,San Pietro Vernotico,Italy,,Brazil ,Brazil,,,1,2018
Diego da Silva Costa (Diego Costa),Spain,7-Oct-88,Lagarto,Brazil,,Brazil,Brazil,,,1,2018
Milos Degenek,Australia,28/04/1994,Knin,Croatia,,Serbia,Serbia,,,1,2018
Daniel Arzani,Australia,4-Jan-99,Khorramabad,Iran,,Iran,Iran,,,1,2018
Pione Sisto Ifolo Emirmija (Pione Sisto),Denmark,4-Feb-95,Kampala,Uganda,,South Sudan,South Sudan,,,1,2018
Samuel Umtiti,France,14/11/1993,Yaoundé,Cameroon,,Cameroon,Cameroon,,,1,2018
Thomas Lemar,France,12/11/1995,Baie-Mahault,Guadeloupe,,Guadeloupe,Guadeloupe,,,1,2018
Steve Mandanda,France,28-Mar-85,Kinshasa,Congo,,Congo,Congo,,,1,2018
Gonzalo Higuaín,Argentina,10/12/1987,Brest,France,,Argentina,,,,1,2018
Vedran Ćorluka,Croatia,5-Feb-86,Derventa,SFR Yugoslavia,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,,,1,2018
Dejan Lovren,Croatia,5-Jul-89,Zenica,SFR Yugoslavia,Bosnia and Herzegovina,Croatia,Croatia,,,1,2018
Ivan Rakitić,Croatia,10-Mar-88,Möhlin,Switzerland,,Croatia,Bosnia and Herzegovina,,,1,2018
Mateo Kovačić,Croatia,6-May-94,Linz,Austria,,Bosnia and Herzegovina,Bosnia and Herzegovina,,,1,2018
Frederik Schram,Iceland,19-Jan-95,Dragør,Denmark,,Denmark,Iceland,,,1,2018
Kári Árnason,Iceland,13-Oct-82,Gothenburg,Sweden,,Iceland,Iceland,,,1,2018
Brian Idowu,Nigeria,18-May-92,Saint Petersburg,Russia,,Nigeria,Nigeria / Russia,Nigeria / Nigeria,Nigeria / Russia (Olga),1,2018
William Troost-Ekong,Nigeria,1/9/1993,Haarlem,Netherlands,,Nigeria,Netherlands,,,1,2018
Leon Balogun,Nigeria,28-Jun-88,West Berlin,West Germany,Germany,Nigeria,Germany,,,1,2018
Tyronne Ebuehi,Nigeria,16/12/1995,Haarlem,Netherlands,,Nigeria,Netherlands,,,1,2018
Óscar Duarte,Costa Rica,3-Jun-89,Catarina,Nicaragua,,Nicaragua,Nicaragua,,,1,2018
Aleksandar Prijović,Serbia,21/04/1990,Sankt Gallen,Switzerland,,Serbia ,Serbia,,,1,2018
Miloš Veljković,Serbia,26/09/1995,Basel,Switzerland,,Serbia,Serbia,,,1,2018
Milan Rodić,Serbia,2/4/1991,Drvar,SFR Yugoslavia,Bosnia and Herzegovina,Serbia,Serbia,,,1,2018
Luka Jović,Serbia,23/12/1997,Bijeljina,Bosnia and Herzegovina,,,,,,1,2018
Sergej Milinković-Savić,Serbia,27-Feb-95,Lleida,Spain,,Serbia,Serbia,,,1,2018
François Moubandje,Switzerland,21-Jun-90,Douala,Cameroon,,Cameroon,Cameroon,,,1,2018
Breel Embolo,Switzerland,14-Feb-97,Yaoundé,Cameroon,,Cameroon,Cameroon,,,1,2018
Valon Behrami,Switzerland,19/04/1985,Titova Mitrovica,SFR Yugoslavia,Kosovo,Kosovo ,Kosovo,,,1,2018
Yvon Landry Mvogo Nganoma (Yvon Mvogo),Switzerland,6-Jun-94,Yaoundé,Cameroon,,Cameroon,Cameroon,,,1,2018
Blerim Džemaili,Switzerland,12/4/1986,Tetovo,SFR Yugoslavia,Macedonia,Albania,Albania,,,1,2018
Gelson Fernandes,Switzerland,2/9/1986,Praia,Cape Verde,,Cape Verde,Cape Verde,,,1,2018
Johan Djourou,Switzerland,18-Jan-87,Abidjan,Ivory Coast,,Ivory Coast ,Ivory Coast,,,1,2018
Xherdan Shaqiri,Switzerland,10-Oct-91,Gnjilane,SFR Yugoslavia,Kosovo,Kosovo / Albania,Kosovo / Albania,,,1,2018
Toni Kroos,Germany,4-Jan-90,Greifswald,East Germany,Germany,,,,,1,2018
Raheem Sterling,England,8/12/1994,Kingston,Jamaica,,Jamaica,Jamaica,,,1,2018
Syam Ben Youssef,Tunisia,31-Mar-89,Marseille,France,,Tunisia,Tunisia,,,1,2018
Yohan Benalouane,Tunisia,28-Mar-87,Bagnols-sur-Cèze,France,,Tunisia,,,,1,2018
Saîf-Eddine Khaoui,Tunisia,27/04/1995,Paris,France,,Tunisia,Tunisia,,,1,2018
Anice Badri,Tunisia,18/09/1990,Lyon,France,,Tunisia,Tunisia,,,1,2018
Wahbi Khazri,Tunisia,8-Feb-91,Ajaccio,France,,Tunisia,Tunisia,,,1,2018
Dylan Bronn,Tunisia,19-Jun-95,Cannes,France,,France,Tunisia,,,1,2018
Ellyes Skhiri,Tunisia,10-May-95,Lunel,France,,Tunisia,Tunisia,,,1,2018
Mouez Hassen,Tunisia,5-Mar-95,Fréjus,France,,Tunisia,Tunisia,,,1,2018
Naïm Sliti,Tunisia,27-Jul-92,Marseille,France,,Tunisia,Tunisia,,,1,2018
Gōtoku Sakai,Japan,14-Mar-91,New York City,United States,,Japan,Germany,,,1,2018
Thiago Cionek,Poland,21/04/1986,Curitiba,Brazil,,Brazil,Brazil,Poland,Poland,1,2018
Abdoulaye Diallo,Senegal,30-Mar-92,Reims,France,,Senegal,Senegal,,,1,2018
Kalidou Koulibaly,Senegal,20-Jun-91,Saint-Dié-des-Vosges,France,,Senegal,Senegal,,,1,2018
Salif Sané,Senegal,25/08/1990,Lormont,France,,Senegal,Senegal,,,1,2018
Moussa Sow,Senegal,19-Jan-86,Mantes-la-Jolie,France,,Senegal,Senegal,,,1,2018
Youssouf Sabaly,Senegal,5-Mar-93,Le Chesnay,France,,Senegal,Senegal,,,1,2018
Alfred N'Diaye,Senegal,6-Mar-90,Paris,France,,Senegal,Senegal,,,1,2018
M'Baye Niang,Senegal,19/12/1994,Meulan-en-Yvelines,France,,Senegal,Senegal,,,1,2018
Keita Baldé,Senegal,8-Mar-95,Arbúcies,Spain,,Senegal,Senegal,,,1,2018
Lamine Gassama,Senegal,20-Oct-89,Marseille,France,,Senegal,Senegal,,,1,2018
