Name Football Player,International ,Date of birth,Place of Birth ,Country of Birth,Current Country ,Nationality Father,Nationality Mother,Nationality Grandfather,Nationality Grandmother,Foreign-born,FIFA World Cup
Vladimir Beara,Yugoslavia,2-Nov-28,Zelovo,Yugoslavia,Croatia,,,,,1,1958
Vasilije Šijaković,Yugoslavia,31-Jul-29,Nikšić,Yugoslavia,Montenegro,,,,,1,1958
Tomislav Crnković,Yugoslavia,17-Jun-29,Kotor,Yugoslavia,Montenegro,,,,,1,1958
"Branislav ""Branko"" Zebec (Captain)",Yugoslavia,17-May-29,Zagreb,Yugoslavia,Croatia,,,,,1,1958
Ivan Šantek,Yugoslavia,23-Apr-32,Zagreb,Yugoslavia,Croatia,,,,,1,1958
Dragoslav Šekularac,Yugoslavia,8-Nov-37,Štip,Yugoslavia,Macedonia,Serbia,Macedonia,,,1,1958
Ilijas Pašić,Yugoslavia,10-May-34,Herceg Novi,Yugoslavia,Montenegro,,,,,1,1958
Radivoje Ognjanović,Yugoslavia,1-Jul-33,Strošinci,Yugoslavia,Croatia,,,,,1,1958
Gordan Irović,Yugoslavia,2-Jul-34,Herceg Novi,Yugoslavia,Montenegro,,,,,1,1958
Nikola Radović,Yugoslavia,20-Oct-32,Podgorica,Yugoslavia,Montenegro,,,,,1,1958
Dražan Jerković,Yugoslavia,6 augustus 1936,Šibenik,Yugoslavia,Croatia,,,,,1,1958
Vladimir Nikitovich Maslachenko,Soviet Union,5-Mar-36,Vasylkivka,Soviet Union,Ukraine,,,,,1,1962
Sergo (Sergei) Parmenovich Kotrikadze,Soviet Union,9 augustus 1936,Chokhatauri,Soviet Union,Georgia,,,,,1,1962
Eduard Isaakovich Dubinski,Soviet Union,6-Apr-35,Kharkiv,Soviet Union,Ukraine,,,,,1,1962
Givi Chokheli,Soviet Union,27-Jun-37,Telavi,Soviet Union,Georgia,,,,,1,1962
Leonid Ostrovskiy,Soviet Union,17-Jan-36,Riga,Soviet Union,Latvia,,,,,1,1962
Yozhef Sabo,Soviet Union,29-Feb-40,Uzhhorod,Hungary,,,,,,1,1962
Viktor Izrailyovych Kanevskyi,Soviet Union,3-Oct-36,Kiev,Soviet Union,Ukraine,,,,,1,1962
Mikhail Meskhi,Soviet Union,12-Jan-37,Tbilisi,Soviet Union,Georgia,,,,,1,1962
